ds,yhat,yhat_lower,yhat_upper
2019-03-02,-18518941.526767068,-93010378.01556933,53543057.45306741
2019-03-03,-22875739.205142297,-98457817.61052328,50307848.149556465
2019-03-04,-28196424.41595891,-104842265.73908074,46487027.86327292
2019-03-05,-33738876.826134205,-111341182.75586204,41728960.99112808
2019-03-06,-39038371.57111675,-118054072.49514322,37503675.072212406
2019-03-07,-44304553.25763561,-124656956.4770058,33567564.90258252
2019-03-08,-48082763.60008448,-129365599.8523894,31024252.23930145
2019-03-09,-55044360.518869005,-138078954.2934753,25084947.21462921
2019-03-10,-59614796.400566265,-144427726.4046243,21645539.952482194
2019-03-11,-64571837.66420292,-151314153.49084854,17602466.236377634
2019-03-12,-69190881.34943931,-156722554.40368438,14114643.718407393
2019-03-13,-73036129.49896309,-162334789.57683516,11452140.25748983
2019-03-14,-76356746.96385136,-167529887.93614477,9578359.144770551
2019-03-15,-77747134.03818747,-170676878.86605534,9636975.060399907
2019-03-16,-81935979.80151072,-174984489.57858017,6066675.945646585
2019-03-17,-83412896.99787644,-178001829.51562446,5574632.852630972
2019-03-18,-85025057.92262554,-181379211.55023822,5372878.006889035
2019-03-19,-86120827.57056427,-184017067.841601,5252519.933910903
2019-03-20,-86339197.50125703,-186129161.82175547,6248228.905405573
2019-03-21,-86004189.76247963,-186822858.9222221,7596399.5946202595
2019-03-22,-83783405.88117626,-185719012.23643965,10815542.353079952
2019-03-23,-84475429.16716796,-187881871.4015865,11581731.39244799
2019-03-24,-82634921.19947645,-187463294.92550498,14214404.719164548
2019-03-25,-81167868.66243425,-187708333.63388526,17071674.256143544
2019-03-26,-79474009.21106592,-187611574.0043382,20457542.26116621
2019-03-27,-77235267.17274532,-186945904.1389216,24741635.562466126
2019-03-28,-74809390.03705902,-186130862.15848127,29181510.444318622
2019-03-29,-70887976.10758823,-183759752.7733459,34716195.651545346
2019-03-30,-70283610.34055093,-184187541.56044817,36966818.56892342
2019-03-31,-67554951.27668473,-182679623.2430212,41703381.05821981
2019-04-01,-65602220.54820489,-181602546.70804298,45588724.20755765
2019-04-02,-63810112.434856996,-181286411.62169412,48305289.08979246
2019-04-03,-61836936.9239742,-181099724.32035166,51158377.53288139
2019-04-04,-60009164.262642786,-180800684.33495858,54282735.596012264
2019-04-05,-56980533.48111159,-179023225.0046875,58952148.83339746
2019-04-06,-57520409.892847456,-180036398.58018717,59982824.36185177
2019-04-07,-56140199.24344903,-179654058.51568496,62975765.352369614
2019-04-08,-55690232.5276663,-181703957.10947883,64453429.78074568
